en_claim,en_explanation,en_top_sentences,de_claim,de_explanation,de_top_sentences,label,de_verdict,de_title,authors,date,url
"Do remedies containing the trifoliate fruit alleviate the symptoms of rheumatoid arthritis (""rheumatism"")?","We have evaluated two small studies. They suggest that taking trifoliate relieves some rheumatism symptoms better than a placebo remedy. However, these results are not well established.","They come to the conclusion that the intake of three-winged fruits could improve some rheumatism problems rather than a placebo. These are studies in which two randomly compiled groups either take three-winged fruit remedies or a sham medication. Overall, the results point cautiously in a positive direction. Possibly, the intake of three-winged fruit capsules improves the symptoms of rheumatism more than with placebo.",Lindern Mittel mit der Dreiflügelfrucht die Beschwerden bei rheumatoider Arthritis („Rheuma“)?,"Wir haben zwei kleine Studien ausgewertet. Sie deuten an, dass die Einnahme von Dreiflügelfrucht manche Rheuma-Beschwerden besser lindert als ein Placebomittel. Allerdings sind diese Ergebnisse nicht gut abgesichert.","Sie kommen zu dem Schluss, dass die Einnahme von Dreiflügelfrucht-Mitteln manche Rheumabeschwerden eher verbessern könnte als ein Placebomittel. Das sind Untersuchungen, bei denen zwei nach dem Zufallsprinzip zusammengestellte Gruppen entweder Dreiflügelfrucht-Mittel einnehmen oder ein Scheinmedikament. Insgesamt deuten die Ergebnisse vorsichtig in eine positive Richtung. Eventuell verbessert die Einnahme von Dreiflügelfrucht-Kapseln die Symptome bei Rheuma stärker als bei Einnahme eines Placebo.",0,möglicherweise,Dreiflügelfrucht: vielleicht hilfreich bei Rheuma | Medizin Transparent,"Julia Harlfinger,Bernd Kerschner,Claudia Christof",18. November 2019,https://www.medizin-transparent.at/dreifluegelfrucht-vielleicht-hilfreich-bei-rheuma/
Does thyme strengthen memory or prevent mental decline?,We have not been able to find any studies that have examined this question in the context of human studies.,"Whether thyme strengthens memory or prevents dementia is therefore unclear. Despite numerous studies, it has not yet been possible to identify individual measures or means that can demonstrate and significantly reduce the risk of dementia. The studies in detail We could not find any studies on the topic.",Stärkt Thymian das Gedächtnis oder verhindert es den geistigen Abbau?,"Wir haben keine Studien finden können, die diese Frage im Rahmen von Studien mit Menschen untersucht haben.","Ob Thymian das Gedächtnis stärkt oder eine Demenz verhindert, ist also unklar. Trotz zahlreicher Studien ist bisher nicht gelungen, einzelne Maßnahmen oder Mittel zu identifizieren, die das Risiko für eine Demenz nachweislich und erheblich senken können. Die Studien im Detail   Wir konnten keine Studien zum Thema finden bzw.",1,wissenschafliche Beweise fehlen,Thymian: Unklare Wirkung auf das Gedächtnis | Medizin Transparent,"Iris Hinneburg,Julia Harlfinger,Claudia Christof",25. November 2019,https://www.medizin-transparent.at/thymian-gedaechtnis/
"Does regular consumption of chia seeds reduce body weight, blood sugar levels or cholesterol?","Whether Chia seeds promote health has not been directly studied. The summarized results of previous studies at least indicate that Chia has no effect on body weight, blood sugar and cholesterol levels. The significance of this","Whether chia seeds can improve health or prevent diseases has been insufficiently researched. They also do not suggest efficacy on individual measurements: the regular consumption of chia seeds should not improve blood fats such as cholesterol and triglycerides, as well as blood glucose levels, even after more than five months. Chia seeds should also not have a weight-reducing effect. Thus, dietary supplements with omega-3 fats cannot reduce the risk of premature death due to heart attack, stroke or other diseases.","Sinkt durch den regelmäßigen Konsum von Chia-Samen das Körpergewicht, der Blutzuckerspiegel oder der Cholesterinspiegel?","Ob Chia-Samen die Gesundheit fördern, ist nicht direkt untersucht. Die zusammengefassten Ergebnisse bisheriger Studien weisen zumindest darauf hin, dass Chia keine Auswirkung auf Körpergewicht, Blutzucker und Cholesterinspiegel hat. Die Aussagekraft dies","Ob Chia-Samen die Gesundheit verbessern oder Krankheiten vorbeugen können, ist bisher nur unzureichend erforscht. Auch eine Wirksamkeit auf einzelne Messwerte legen sie nicht nahe:   So dürfte der regelmäßige Verzehr von Chia-Samen selbst nach mehr als fünf Monaten Blutfette wie Cholesterin und Triglyceride sowie den Blutzuckerwert eher nicht verbessern. Auch eine gewichtsreduzierende Wirkung dürften Chia-Samen nicht haben. Demnach können Nahrungsergänzungsmittel mit Omega-3-Fetten das Risiko für einen frühzeitigen Tod durch Herzinfarkt, Schlaganfall oder sonstige Erkrankungen nicht senken.",2,möglicherweise nicht,Chia-Samen: gesunde Wirkung fraglich | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",6. November 2019,https://www.medizin-transparent.at/chia-samen/
Do heat patches that heat themselves or heat pads help with pain in the neck?,Studies on the pain-relieving effect of heat pads and self-heating plasters are contradictory.,Heat with question mark Whether heat can relieve the pain in the neck is not well researched. We cannot therefore say whether heat in the neck is effective for pain and tension.,"Helfen Wärmepflaster, die sich selbst erwärmen, oder Wärmeauflagen bei Schmerzen im Nacken?",Die Studienlage zur schmerzlindernden Wirkung von Wärmeauflagen sowie selbstwärmenden Pflastern ist widersprüchlich.,"Wärme mit Fragezeichen  Ob Wärme die Schmerzen im Nacken lindern kann, ist nicht gut erforscht. Wir können daher nicht sagen, ob Wärme im Nacken wirksam gegen Schmerzen und Verspannungen ist.",1,wissenschafliche Beweise fehlen,Wärmepflaster für den Nacken: Hilfe gegen Schmerzen? | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",28. Oktober 2019,https://www.medizin-transparent.at/waermepflaster-nacken/
Do heat patches containing capsaicin help with neck pain???,Studies on the pain-relieving effect of heat pads and self-heating plasters are contradictory.,The study team reported that people who wear a capsaicin-containing heat patch four weeks a day have just as much (or little) neck pain as people with a placebo patch without an active substance. Further studies with a larger number of participants must confirm whether heat patches with capsaicin are actually ineffective. This indicates that the patches with capsaicin do not have any special analgesic effect.,Helfen Capsaicin-haltige Wärmepflaster bei Schmerzen im Nacken??,Die Studienlage zur schmerzlindernden Wirkung von Wärmeauflagen sowie selbstwärmenden Pflastern ist widersprüchlich.,"Das Studienteam berichtete: Menschen, die vier Wochen täglich ein Capsaicin-haltiges Wärmepflaster tragen, haben genau so viel (oder wenig) Nackenschmerzen wie Menschen mit einem  Placebo-Pflaster ohne Wirkstoff. Ob Wärmepflaster mit Capsaicin tatsächlich wirkungslos sind, müssen weitere Studien mit einer größeren Anzahl an Teilnehmenden bestätigen. Dies deutet darauf hin, dass die Pflaster mit Capsaicin keine spezielle schmerzlindernde Wirkung haben.",2,möglicherweise nicht,Wärmepflaster für den Nacken: Hilfe gegen Schmerzen? | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",28. Oktober 2019,https://www.medizin-transparent.at/waermepflaster-nacken/
Do heat patches help with lower back pain?,"Heat patches produce heat by means of a chemical reaction. They can probably relieve low back pain somewhat in the short term. However, this has only been investigated for complaints that have persisted for a maximum of 3 months... Heat patches with chili extract (capsaicin)","This substance creates a feeling of warmth on the skin, but does not become warm itself. According to their results, it is likely that both types of heat patches can relieve pain in the lower back. Carrying self-warming patches for three days has on average improved the pain in the lower back by 18 points on the 100s scale [1]. In addition to movement exercises or painkillers, the heat patches are probably pain-relieving [1,3].",Helfen Wärmepflaster bei Schmerzen im unteren Rücken?,"Wärmepflaster erzeugen mittels chemischer Reaktion Wärme. Sie können Kreuzschmerzen wahrscheinlich kurzfristig etwas lindern. Untersucht ist das jedoch nur für Beschwerden, die seit maximal 3 Monaten bestehen.. Wärmepflaster mit Chili-Extrakt (Capsaicin)","Ihren Ergebnissen zufolge ist es wahrscheinlich, dass beide Arten von Wärmepflastern Schmerzen im unteren Rücken lindern können. Drei Tage selbstwärmende Pflaster zu tragen hat die Schmerzen im unteren Rücken im Schnitt also um 18 Punkte auf der 100er-Skala gebessert [1] . Auch zusätzlich zu Bewegungsübungen oder Schmerzmitteln wirken die Wärmepflaster wahrscheinlich schmerzlindernd [1,3] . Auf Basis der Ergebnisse beider Studien halten wir es für wahrscheinlich, dass Wärmepflaster mit Capsaicin chronische Schmerzen im unteren Rücken etwas lindern können [1] .",0,wahrscheinlich,Wärmepflaster für den Rücken: kurzfristige Hilfe bei Kreuzschmerzen | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",22. Oktober 2019,https://www.medizin-transparent.at/waermepflaster-ruecken/
Does ginger help with period pain?,"Previous studies indicate that ginger can slightly relieve menstrual pain. However, due to deficiencies in their conduct, they are of limited value.","In summary, the best studies currently available indicate that ginger could help [1,2]. In their analyses they came to the same conclusion: The summarized results of the three studies indicate cautiously that ginger capsules can reduce pain by an average of 1.5 points on a scale from 0 to 10 [1,2]. Nevertheless, ginger showed a low pain-relieving effect in all three. In two studies, ginger capsules seemed to have a similar effect to the painkiller mefenamic acid in the 250 mg dose [1].",Hilft Ingwer bei Regelschmerzen?,"Bisherige Studien weisen darauf hin, dass Ingwer Regelschmerzen geringfügig lindern kann. Aufgrund von Mängeln in der Durchführung sind sie jedoch nur eingeschränkt aussagekräftig.","Zusammengefasst deuten die besten derzeit verfügbaren Studien darauf hin, dass Ingwer helfen könnte [1,2] . Der schmerzlindernde Effekt dürfte jedoch gering sein. In ihren Analysen kamen sie zur selben Schlussfolgerung: Die zusammengefassten Ergebnisse der drei Studien deuten vorsichtig darauf hin, dass Ingwer-Kapseln die Schmerzen um durchschnittlich 1,5 Punkte auf einer Skala von 0 bis 10 senken kann [1,2] . In zwei Studien schienen Ingwerkapseln ähnlich gut zu wirken wie das Schmerzmittel Mefenaminsäure in der Dosierung mit 250 mg [1] .",0,möglicherweise ein bisschen,Ingwer hilft möglicherweise bei Regelschmerzen,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",10. Oktober 2019,https://www.medizin-transparent.at/regelschmerzen-ingwer/
"Can the state of health be assessed as reliably with a ""cell check"" analysis as with other diagnostic tests (for example, blood or urine analyses)?","There are no studies in which the reliability and significance of ""cell check"" results have been verified.","Despite extensive research in five research databases, however, we could not find a single study on the reliability of the cell check method. Thus, the cell check test does not allow ""to create a diagnosis or to make healing statements based on the determined values."" The studies in detail We could not find any studies on the reliability of the cell check method.",Lässt sich der Gesundheitszustand mit einer „Zellcheck“-Analyse ähnlich verlässlich beurteilen wie mit anderen diagnostischen Tests (zum Beispiel Blut- oder Harnanalysen)?,"Es gibt keine Studien, in denen die Verlässlichkeit und Aussagekraft von „Zellcheck“-Ergebnissen überprüft wurde.","Trotz aufwändiger Recherche in fünf Forschungsdatenbanken konnten wir jedoch keine einzige Studie zur Verlässlichkeit der Zellcheck-Methode finden. Demnach erlaubt es der Zellcheck-Test nicht, „auf Grund der ermittelten Werte eine Diagnose zu erstellen oder Heilaussagen zu tätigen“. Die Studien im Detail   Wir konnten keine Studien zur Verlässlichkeit der Zellcheck-Methode finden.",1,wissenschafliche Beweise fehlen,„Zellcheck“: Handscan für Diagnosen ungeeignet | Medizin Transparent,"Bernd Kerschner,Claudia Christof",24. Oktober 2019,https://www.medizin-transparent.at/zellcheck/
Can pain from osteoarthritis (joint wear) be relieved by arnica ointment or arnica gel?,,"Lubricated joints with hooks We found indications of some effectiveness in the age-related joint wear (arthrosis) in the fingers – in a study [1] with 204 people affected. However, it cannot be derived from how small or large the analgesic effect of Arnika-Gel is for application.",Lassen sich Schmerzen bei einer Arthrose (Gelenksabnutzung) durch Arnika-Salbe oder Arnika-Gel lindern?,,"Geschmierte Gelenke mit Haken  Hinweise auf eine gewisse Wirksamkeit haben wir bei der altersbedingten Gelenksabnützung (Arthrose) in den Fingern gefunden – und zwar in einer Studie [1] mit 204 Betroffenen. Wie klein oder groß die schmerzstillende Wirkung von Arnika-Gel zum Auftragen ist, lässt sich daraus aber nicht ableiten.",0,möglicherweise,Arnika: wie gut hilft das Hausmittel zum Einschmieren? | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",31. Oktober 2019,https://www.medizin-transparent.at/arnika/
Can pain from a sprained ankle be relieved by arnica ointment or arnica gel?,,"No confidence in sprains We found a study [2] in which an arnica spray was compared with an active placebo spray to sprained ankles. However, we do not consider the study to be trustworthy, because it is rather inaccurate. In addition, important data are missing. We cannot, therefore, say whether Arnika helps in spraining the ankle. Arnika ineffective against sore muscles?",Lassen sich Schmerzen bei einem verstauchten Knöchel durch Arnika-Salbe oder Arnika-Gel lindern?,,"Kein Vertrauen bei Verstauchungen  Zu verstauchten Knöcheln haben wir eine Studie [2] gefunden, in der ein Arnika-Spray mit einem wirkstofflosen Placebo-Spray verglichen wurde. Wir halten die Studie jedoch nicht für vertrauenswürdig, denn sie ist ziemlich ungenau. Außerdem fehlen wichtige Daten. Wir können daher nicht sagen, ob Arnika bei einer Verstauchung des Knöchels hilft. Arnika wirkungslos gegen Muskelkater?",1,wissenschafliche Beweise fehlen,Arnika: wie gut hilft das Hausmittel zum Einschmieren? | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",31. Oktober 2019,https://www.medizin-transparent.at/arnika/
Can sore muscles be relieved by arnica ointment or arnica gel?,,"Arnika ineffective against sore muscles? There was no noticeable pain-relieving effect in any of them. Since the studies together only had 93 participants, this is not a meaningful result. We cannot therefore safely assume that arnica gels or ointments are really ineffective in case of muscle ache.",Lässt sich Muskelkater durch Arnika-Salbe oder Arnika-Gel lindern??,,"Arnika wirkungslos gegen Muskelkater? Eine spürbar schmerzlindernde Wirkung zeigte sich in keiner davon. Da die Studien zusammen aber nur 93 Teilnehmerinnen und Teilnehmer hatten, ist das kein aussagekräftiges Ergebnis. Wir können daher nicht mit Sicherheit davon ausgehen, dass Arnika-Gele oder -Salben bei Muskelkater wirklich wirkungslos sind.",2,möglicherweise nicht,Arnika: wie gut hilft das Hausmittel zum Einschmieren? | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",31. Oktober 2019,https://www.medizin-transparent.at/arnika/
Can carbon dioxide in mineral water and other sparkling drinks damage teeth or cause tooth decay?,"Whether the regular consumption of carbonated beverages (mineral water, sparkling soft drinks) damages the teeth more than non-carbonated beverages has not yet been researched.","We were unable to find any studies in which dental health is associated with regular consumption of carbonated beverages. However, clear statements for ""real life"" cannot be derived from these laboratory experiments. The studies in detail During our research in three research databases, we did not find any meaningful studies.",Kann Kohlensäure in Mineralwasser und anderen prickelnden Getränken die Zähne schädigen oder Karies verursachen?,"Ob der regelmäßige Konsum von kohlensäurehaltigen Getränken (Mineralwasser, prickelnde Softdrinks) die Zähne stärker schädigt als stille Getränke, ist bisher nicht erforscht.","Wir konnten keine Studien finden, in denen die Zahngesundheit bei regelmäßigem Konsum von kohlensäurehaltigen Getränken bzw. Klare Aussagen für das „echte Leben“ lassen sich von diesen Laborexperimenten jedoch nicht ableiten. Die Studien im Detail   Bei unserer Recherche in drei Forschungsdatenbanken haben wir keine aussagekräftigen Studien gefunden.",1,wissenschafliche Beweise fehlen,Kohlensäure als Risiko für die Zähne? | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",1. Oktober 2019,https://www.medizin-transparent.at/kohlensaeure-zaehne/
"Does bark extract from maritime pine (also: ""pine bark extract"") improve the symptoms of osteoarthritis?","The question was investigated in three smaller studies. However, due to severe methodological deficiencies and partly contradictory results, no firm conclusions can be drawn from them.","Unclear: Effect of pine bark extract However, no safe statements can be derived from the existing studies: Because the product with pine bark extract called pycnogenol was examined overall only with relatively few patients. Some of the studies come to contradictory results and have significant methodological shortcomings. Therefore, we cannot assess the importance of pycnogenol in the treatment of osteoarthritis compared to a dummy preparation. However, no statements on possible undesirable effects can be derived from the bark extract.",Verbessert Rindenextrakt aus der See-Kiefer (auch: „Pinienrindenextrakt“) die Beschwerden bei Arthrose?,Die Frage wurde in drei kleineren Studien untersucht. Wegen schwerer methodischer Mängel und teils widersprüchlicher Ergebnisse lassen sich daraus aber keine sicheren Schlussfolgerungen ziehen.,Unklar: Wirkung von Pinienrindenextrakt  Allerdings lassen sich aus den vorhandenen Studien keine sicheren Aussagen ableiten: Denn das Mittel mit Pinienrindenextrakt namens Pycnogenol  wurde insgesamt nur mit relativ wenigen Patientinnen und Patienten untersucht. Die Studien kommen teilweise zu widersprüchlichen Ergebnissen und haben erhebliche methodische Mängel. Deshalb können wir den Stellenwert von Pycnogenol  im Vergleich zu einem Scheinpräparat bei der Behandlung von Arthrose nicht einschätzen. Daraus lassen sich aber keine Aussagen zu möglichen unerwünschten Wirkungen von des Rindenextrakts ableiten.,1,wissenschafliche Beweise fehlen,Pinienrindenextrakt gegen Arthrose? | Medizin Transparent,"Iris Hinneburg,Julia Harlfinger,Claudia Christof",25. Oktober 2019,https://www.medizin-transparent.at/pinienrindenextrakt-arthrose/
"Is brown millet effective in favorably influencing the course of the disease in rheumatism (""rheumatoid arthritis"")?","We could not find any studies on this topic; therefore, statements on the benefits and risks of brown millet in rheumatoid arthritis are not possible.","Not a single research project Although we did research in three scientific databases, we could not find a single study on this subject. No research group has yet carried out studies with rheumatoid patients on the effects of brown brains. On this basis, we cannot make any statements about a potential benefit in rheumatism.","Ist Braunhirse wirksam, um den Krankheitsverlauf bei Rheuma („rheumatoide Arthritis“) günstig zu beeinflussen?",Wir konnten keine Studien zu diesem Thema finden; Aussagen zu Nutzen und Risiken von Braunhirse bei rheumatoider Arthritis sind daher nicht möglich.,"Keine einzige Forschungsarbeit  Obwohl wir in drei wissenschaftlichen Datenbanken recherchiert haben, konnten wir keine einzige Studie zu diesem Thema finden. Offenbar hat bisher noch keine Forschungsgruppe Untersuchungen mit Rheuma-Kranken zu den Effekten von Braunhirse durchgeführt bzw. Auf dieser Basis können wir keine Aussagen über einen möglichen Nutzen bei Rheuma treffen.",1,wissenschafliche Beweise fehlen,Braunhirse gegen Rheuma? | Medizin Transparent,"Julia Harlfinger,Bernd Kerschner,Claudia Christof",2. Oktober 2019,https://www.medizin-transparent.at/braunhirse-rheuma/
Are cannabis or substances derived from cannabis effective and safe anti-cancer agents?,Reliable studies on this question are lacking.,"However, meaningful work on the anti-cancer effect of the cannabis plant or of individual artificial or natural cannabis substances such as tetrahydrocannabinol (THC) and cannabidiol (CBD) in humans is unlikely to have been published. It is therefore unclear whether cannabis has an anti-cancer effect. Even a small study [ 1 ] with nine incurable brain tumors did not shed light on the matter.",Sind Cannabis bzw. Substanzen aus Cannabis wirksame und sichere Anti-Krebs-Mittel?,Verlässliche Studien zu dieser Frage fehlen.,"Doch aussagekräftige Arbeiten über die Anti-Krebs-Wirkung der Cannabis-Pflanze oder von einzelnen künstlichen oder natürlichen Cannabis-Substanzen wie Tetrahydrocannabinol (THC) und Cannabidiol (CBD) beim Menschen dürften bisher nicht veröffentlich worden sein. Es ist also unklar, ob Cannabis eine Anti-Krebs-Wirkung hat bzw. Auch eine kleine Studie [ 1 ] mit neun unheilbar an einem Gehirntumor erkrankten Menschen brachte nicht mehr Licht in die Sache.",1,wissenschafliche Beweise fehlen,Cannabis: Kein Krebs-Wundermittel | Medizin Transparent,"Julia Harlfinger,Bernd Kerschner,Claudia Christof",15. Oktober 2019,https://www.medizin-transparent.at/cannabis-kein-wundermittel-gegen-krebs/
It is not always possible to reduce elevated cholesterol levels to a healthy level with tablets and thus minimize the risk of heart attack or stroke. Does this succeed through additional injections with PCSK9 antibodies?,"Up to now, this question has largely been investigated in people who not only have elevated cholesterol levels, but also already suffer from cardiovascular disease. Do these individuals receive additional cholesterol-lowering medications in addition to","Lower cholesterol What the antibodies can do is lower elevated LDL cholesterol. Accordingly, the antibodies reduce the LDL cholesterol level by almost 60 percent when they are injected in addition to common cholesterol nuclei such as statins or ezetimib [1,10,12]. However, lowering LDL cholesterol does not automatically lead to fewer heart attacks and strokes.","Nicht immer ist es mit Tabletten möglich, einen erhöhten Cholesterinspiegel auf ein gesundes Maß zu senken und so das Risiko für Herzinfarkt oder Schlaganfall zu minimieren. Gelingt das durch zusätzliche Spritzen mit PCSK9-Antikörpern?","Bislang ist diese Fragestellung größtenteils an Personen untersucht worden die nicht nur erhöhte Cholesterinwerte haben, sondern bereits an einer Herz-Kreislauf-Erkrankung leiden. Bekommen diese Personen zusätzlich zu gängigen cholesterinsenkenden Medikam","Niedrigeres Cholesterin  Was die Antikörper gut können ist, erhöhtes LDL-Cholesterin zu senken. Demnach senken die Antikörper den LDL-Cholesterinspiegel um fast 60 Prozent, wenn sie zusätzlich zu gängigen Cholesterinsenkern wie Statinen oder Ezetimib gespritzt werden [1,10,12] . Eine Senkung des LDL-Cholesterinspiegels führt jedoch nicht automatisch zu weniger Herzinfarkten und Schlaganfällen.",0,wahrscheinlich,Mit Antikörpern gegen Cholesterin | Medizin Transparent,"Claudia Christof,und,Iris Hinneburg,Bernd Kerschner",25. September 2019,https://www.medizin-transparent.at/mit-antikoerpern-gegen-blutfette/
Do vaginal suppositories containing the active ingredient imiquimod cause precancerous stages of cervical cancer to recede or disappear?,"In the only study on this subject, treatment was successful in some of those affected. Since the study is flawed and only a few women participated in it, the significance is limited.","It suggests that the method should be effective in principle. After 16 weeks it turned out: With imiquimod, the pre-stages were formed in 73 percent of women in whole or in part.Without the active ingredient, the pre-stages were formed in 39 percent of women in whole or in part. This was similarly common in both groups: with imiquimod, the preliminary stages decreased to CIN 1 grade at 26 percent.Without imiquimod, the preliminary stages decreased to CIN 1 grade at 25 percent.Limited significance The small number of participants reduces the significance of the study.",Lassen Scheidenzäpfchen mit dem Wirkstoff Imiquimod Vorstufen von Gebärmutterhalskrebs zurückgehen oder verschwinden?,"In der einzigen Studie dazu war die Behandlung bei einem Teil der Betroffenen erfolgreich. Da die Studie mangelhaft ist und nur wenige Frauen darin teilgenommen haben, ist die Aussagekraft eingeschränkt.","Sie deutet darauf hin, dass die Methode prinzipiell wirksam sein dürfte. Nach 16 Wochen zeigte sich:   Mit Imiquimod bildeten sich die Vorstufen bei 73 Prozent der Frauen ganz oder teilweise zurück  Ohne Wirkstoff bildeten sich die Vorstufen bei 39 Prozent der Frauen ganz oder teilweise zurück   Das klingt vorerst recht viel versprechend. Das war in beiden Gruppen ähnlich häufig der Fall:   Mit Imiquimod haben sich die Vorstufen bei 26 Prozent auf Grad CIN 1 zurückgebildet  Ohne Imiquimod haben sich die Vorstufen bei 25 Prozent auf Grad CIN 1 zurückgebildet   Eingeschränkte Aussagekraft  Die geringe Anzahl der Teilnehmerinnen schmälert die Aussagekraft der Studie.",0,möglicherweise,Vorstufen von Gebärmutterhalskrebs mit Imiquimod bekämpfen? | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",15. November 2019,https://www.medizin-transparent.at/vorstufe-gebaermutterhalskrebs-imiquimod/
Is blue light treatment as effective as UV light or other established therapies for psoriasis?,"We have not been able to find any publication comparing blue light with established treatments (e.g., UV irradiation).","For some time now, devices have been offered for the so-called ""blue light treatment"" against psoriasis. Extensive comparison missing After our research, we come to the conclusion: Unfortunately, we cannot assess whether the novel blue light therapy really helps people with psoriasis. Without such comparisons, it cannot be seriously estimated whether blue light therapy could play an important role in the treatment of psoriasis in the future. All in all, it is not possible to derive the significance of blue light therapy from the studies found compared to the treatment options available so far.",Ist bei Schuppenflechte die Behandlung mit Blaulicht so wirksam wie UV-Licht oder andere etablierte Therapien?,"Wir haben keine Publikation finden können, die Blaulicht mit etablierten Behandlungen (z. B. UV-Bestrahlung) vergleichen.","Seit einiger Zeit werden Geräte für die so genannte „Blaulichtbehandlung“ gegen Psoriasis angeboten. Aussagekräftige Vergleich fehlen  Nach unserer Recherche kommen wir zu dem Schluss: Wir können leider nicht einschätzen, ob die neuartigen Blaulicht-Therapie Menschen mit Psoriasis wirklich hilft. Ohne derartige Vergleiche lässt sich nicht seriös abschätzen, ob die Blaulichttherapie künftig eine wichtige Rolle bei der Behandlung der Schuppenflechte spielen könnte. Alles in allem ist es nicht möglich, aus den gefundenen Studien den Stellenwert der Blaulichttherapie im Vergleich zu den bisher verfügbaren Behandlungsoptionen abzuleiten.",1,wissenschafliche Beweise fehlen,Mit Blaulicht gegen Schuppenflechte? | Medizin Transparent,"Iris Hinneburg,Julia Harlfinger,Claudia Christof",30. September 2019,https://www.medizin-transparent.at/blaulicht-schuppenflechte/
Does frequent consumption of potatoes increase the risk of dying from cancer?,The summarized results of studies to date do not show an increased risk of fatal cancers. They also do not indicate that potatoes reduce life expectancy overall.,"Thus, previous studies show no correlation between cancer mortality and potato consumption [1]. Also other causes of death – apart from cancer – did not occur heaped up when participants particularly often ate potatoes [1,2]. Life expectancy and cancer risk also depend on many other things, such as lifestyle, age or income.","Erhöht der häufige Konsum von Kartoffeln das Risiko, an Krebs zu sterben?","Die zusammengefassten Ergebnisse bisheriger Studien zeigen kein erhöhtes Risiko für tödliche Krebserkrankungen. Sie weisen auch nicht darauf hin, dass Kartoffeln die Lebenserwartung insgesamt verringern.","So zeigen bisherige Studien keinen Zusammenhang zwischen Krebssterblichkeit und Kartoffelkonsum [1] . Auch andere Todesursachen – abgesehen von Krebs –traten nicht gehäuft auf, wenn Teilnehmende besonders häufig Kartoffeln aßen [1,2] . Lebenserwartung und Krebsrisiko hängen nämlich auch von vielen anderen Dingen ab, beispielsweise von Lebensstil, Alter oder Einkommen.",2,möglicherweise nicht,Krebs durch Kartoffeln wenig wahrscheinlich | Medizin Transparent,"Bernd Kerschner,Julia Harlfinger,Claudia Christof",7. Oktober 2019,https://www.medizin-transparent.at/kartoffeln-krebs/
Can cancer be detected by dark field analysis (dark field microscopy) of the blood?,,"No cancer diagnosis possible We could not find any evidence for these claims – despite extensive search in several research databases. Although twelve of all participants had cancer, the medical practitioner was only right in three. Even if the small number of participants somewhat restricts the significance, the study shows: A cancer ""diagnosis"" with the help of dark field analysis is often wrong and would lead to great uncertainty among those affected.",Lässt sich eine Krebserkrankung durch eine Dunkelfeldanalyse (Dunkelfeldmikroskopie) des Blutes erkennen?,,"Keine Krebsdiagnose möglich  Belege für diese Behauptungen konnten wir keine finden – trotz umfangreicher Suche in mehreren Forschungsdatenbanken. Obwohl zwölf aller Teilnehmenden Krebs hatten, lag der Heilpraktiker nur bei dreien richtig. Auch wenn die geringe Anzahl der Teilnehmenden die Aussagekraft etwas einschränkt, zeigt die Studie: Eine Krebs-„Diagnose“ mithilfe der Dunkelfeldanalyse ist häufig falsch und würde zu großer Verunsicherung bei Betroffenen führen.",2,wahrscheinlich nicht,Dunkelfeldanalyse zur Diagnose ungeeignet | Medizin Transparent,"Bernd Kerschner,Claudia Christof",5. September 2019,https://www.medizin-transparent.at/dunkelfeldanalyse/
Can dark field analysis indicate other health problems?,,"Hardly any studies Questionable is whether other health problems can be identified with the method. Because we could not discover further meaningful studies in which the dark field analysis was compared with recognized diagnostic methods. However, the extent to which the difference is compared to conventional laboratory tests cannot be reliably stated due to numerous problems in the execution of the study.",Kann eine Dunkelfeldanalyse andere Gesundheitsprobleme anzeigen??,,"Kaum Studien  Fraglich ist, ob sich andere Gesundheitsprobleme mit der Methode erkennen lassen. Denn weitere aussagekräftige Studien, in denen die Dunkelfeldanalyse mit anerkannten Diagnoseverfahren verglichen wurde, konnten wir nicht entdecken. Wie groß der Unterschied zu den herkömmlichen Labortests ist, lässt sich aufgrund zahlreicher Probleme bei der Studiendurchführung jedoch nicht verlässlich sagen.",1,wissenschafliche Beweise fehlen,Dunkelfeldanalyse zur Diagnose ungeeignet | Medizin Transparent,"Bernd Kerschner,Claudia Christof",5. September 2019,https://www.medizin-transparent.at/dunkelfeldanalyse/
